Ticker,Name,AssetClass,AssetSubClass
DEE,PowerShares DB Commodity Dble Short ETN,,Specialty - Natural Resources
DTO,PowerShares DB Crude Oil Dble Short ETN,,Specialty - Natural Resources
SLV,iShares Silver Trust,,Specialty - Precious Metals
DBS,PowerShares DB Silver,,Specialty - Precious Metals
USV,E-TRACS UBS Bloomberg CMCI Silver ETN,,Specialty - Precious Metals
GDX,Market Vectors Gold Miners ETF,,Specialty - Precious Metals
HAO,Claymore/AlphaShares China Small Cap,,Pacific Stock
DGP,PowerShares DB Gold Double Long ETN,,Specialty - Precious Metals
SZO,PowerShares DB Crude Oil Short ETN,,Specialty - Natural Resources
TAO,Claymore/AlphaShares China Real Estate,,Specialty - Real Estate
DDP,PowerShares DB Commodity Short ETN,,Specialty - Natural Resources
JJP,iPath DJ AIG Prec Metals TR Sub-Idx ETN,,Specialty - Precious Metals
SGG,iPath DJ AIG Sugar TR Sub-Idx ETN,,Specialty - Natural Resources
PFF,iShares S&P U.S. Preferred Stock Index,,Growth and Income
